CBTS LINE_ID,route_id,Actual Route,fare_type,DIRECTION,SERVICE_TYPE
T566002,T5660,T566,Flat Fare,2,Normal Flat
T567002,T5670,T567,Flat Fare,2,Normal Flat
T568002,T5680,T568,Flat Fare,2,Normal Flat
T570001,T5700,T570,Flat Fare,1,Normal Flat
T570002,T5700,T570,Flat Fare,2,Normal Flat
T580002,T5800,T580,Flat Fare,2,Normal Flat
T581002,T5810,T581,Flat Fare,2,Normal Flat
T581102,T5811,T581B,Flat Fare,2,Normal Flat
T582002,T5820,T582,Flat Fare,2,Normal Flat
T584002,T5840,T584,Flat Fare,2,Normal Flat
T585002,T5850,T585,Flat Fare,2,Normal Flat
T586002,T5860,T586,Flat Fare,2,Normal Flat
T587002,T5870,T587,Flat Fare,2,Normal Flat
T588002,T5880,T588,Flat Fare,2,Normal Flat
T589002,T5890,T589,Flat Fare,2,Normal Flat
T600001,T6000,T600,Flat Fare,1,Normal Flat
T600002,T6000,T600,Flat Fare,2,Normal Flat
T601001,T6010,T601,Flat Fare,1,Normal Flat
T601002,T6010,T601,Flat Fare,2,Normal Flat
T602002,T6020,T602,Flat Fare,2,Normal Flat
K401002,K4010,401,Zonal Fare,2,Normal Zonal
T603001,T6030,T603,Flat Fare,1,Normal Flat
T603002,T6030,T603,Flat Fare,2,Normal Flat
K100001,K1000,100,Zonal Fare,1,Normal Zonal
T604001,T6040,T604,Flat Fare,1,Normal Flat
T604002,T6040,T604,Flat Fare,2,Normal Flat
T605002,T6050,T605,Flat Fare,2,Normal Flat
K400001,K4000,400,Zonal Fare,1,Normal Zonal
K400002,K4000,400,Zonal Fare,2,Normal Zonal
T640002,T6400,T640,Flat Fare,2,Normal Flat
T715001,T7150,T715,Flat Fare,1,Normal Flat
T715002,T7150,T715,Flat Fare,2,Normal Flat
T751002,T7510,T751,Flat Fare,2,Normal Flat
T753002,T7530,T753,Flat Fare,2,Normal Flat
T754002,T7540,T754,Flat Fare,2,Normal Flat
T757002,T7570,T757,Flat Fare,2,Normal Flat
T757102,T7571,T757B,Flat Fare,2,Normal Flat
T770002,T7700,T770,Flat Fare,2,Normal Flat
T774002,T7740,T774,Flat Fare,2,Normal Flat
T776002,T7760,T776,Flat Fare,2,Normal Flat
T776102,T7761,T776B,Flat Fare,2,Normal Flat
T777002,T7770,T777,Flat Fare,2,Normal Flat
K600001,K6000,600,Zonal Fare,1,Normal Zonal
T778002,T7780,T778,Flat Fare,2,Normal Flat
T780002,T7800,T780,Flat Fare,2,Normal Flat
T781002,T7810,T781,Flat Fare,2,Normal Flat
T782002,T7820,T782,Flat Fare,2,Normal Flat
K500002,K5000,500,Zonal Fare,2,Normal Zonal
T783002,T7830,T783,Flat Fare,2,Normal Flat
T784002,T7840,T784,Flat Fare,2,Normal Flat
T785002,T7850,T785,Flat Fare,2,Normal Flat
T786002,T7860,T786,Flat Fare,2,Normal Flat
T787002,T7870,T787,Flat Fare,2,Normal Flat
T788001,T7880,T788,Flat Fare,1,Normal Flat
T788002,T7880,T788,Flat Fare,2,Normal Flat
T789002,T7890,T789,Flat Fare,2,Normal Flat
T790001,T7900,T790,Flat Fare,1,Normal Flat
T790002,T7900,T790,Flat Fare,2,Normal Flat
T791002,T7910,T791,Flat Fare,2,Normal Flat
T792002,T7920,T792,Flat Fare,2,Normal Flat
T792102,T7921,T792B,Flat Fare,2,Normal Flat
T850002,T8500,T850,Flat Fare,2,Normal Flat
T851002,T8510,T851,Flat Fare,2,Normal Flat
U690001,U6900,690,Flat Fare,1,Normal Flat
U690002,U6900,690,Flat Fare,2,Normal Flat
