No,bus_no,depot,bus_model
1071,WUW4126,Maluri,SCANIA K270
1072,VEN6093,Maluri,VOLVO DD B8L
1073,VK6274,MRT Serdang,SCANIA K250 MRT
1074,VH1382,MRT Sungai Buloh,VOLVO MRT
1075,VH4586,MRT Sungai Buloh,VOLVO MRT
1076,WB3615M,Putrajaya,ALEXANDER DENNIS E200
1077,WC4899G,Putrajaya,ALEXANDER DENNIS E200
1078,W7442Q,Shah Alam,SCANIA K250 B
1079,WVA2977,Shah Alam,SCANIA K270
1080,WVN7823,Batu Caves,MAN
1081,WVH7912,Cheras Selatan,MAN
1082,VER7242,Maluri,VOLVO DD B8L
1083,VH2675,MRT Kajang,SCANIA K250 MRT
1084,VAG4703,MRT Serdang,SCANIA K250 MRT
1085,VX2864,MRT Serdang,SCANIA K250 MRT
1086,VAE7463,MRT Sungai Buloh,VOLVO MRT
1087,VAF5743,MRT Sungai Buloh,VOLVO MRT
1088,VAF5766,MRT Sungai Buloh,VOLVO MRT
1089,WC5496J,Putrajaya,ALEXANDER DENNIS E200
1090,WA3244L,Shah Alam,SCANIA K250 A
1091,WVD4945,Batu Caves,KING LONG IC 100
1092,WVE5056,Batu Caves,MAN
1093,WVG3401,Batu Caves,SCANIA K270
1094,VEW7052,Maluri,VOLVO DD B8L
1095,VAG4730,MRT Kajang,SCANIA K250 MRT
1096,VX2960,MRT Serdang,SCANIA K250 MRT
1097,VH4992,MRT Sungai Buloh,VOLVO MRT
1098,CDH8296,Shah Alam,SCANIA K250
1099,PKX3342,Sungai Nibong,SCANIA K250
1100,PLT2714,Sungai Nibong,SCANIA K250 A
1101,PLU3896,Sungai Nibong,SCANIA K250 A
1102,WB4472S,Batu Caves,ALEXANDER DENNIS E200
1103,BNG4106,BRT Sunway,BUILD YOUR DREAM
1104,PLQ2140,Mak Mandin,SCANIA K250 B
1105,PLP9054,Nibong Tebal,SCANIA K250 B
1106,BNG4101,BRT Sunway,BUILD YOUR DREAM
1107,WVN7805,Cheras Selatan,MAN
1108,VGG9462,Cheras Selatan,VOLVO DD B8L
1109,VGH1474,Cheras Selatan,VOLVO DD B8L
1110,VGH3130,Cheras Selatan,VOLVO DD B8L
1111,VGH4670,Cheras Selatan,VOLVO DD B8L
1112,VGJ8252,Cheras Selatan,VOLVO DD B8L
1113,VGJ8959,Cheras Selatan,VOLVO DD B8L
1114,PJF2907,Mak Mandin,SCANIA K270 10
1115,WVH7683,Maluri,MAN
1116,VH2491,MRT Serdang,SCANIA K250 MRT
1117,WVF1376,MRT Serdang,SCANIA K270
1118,WVF1586,MRT Serdang,SCANIA K270
1119,WB1032K,Shah Alam,ALEXANDER DENNIS E200
1120,WVA3152,Shah Alam,SCANIA K270
1121,PJF2934,Shah Alam,SCANIA K270 10
1122,PJL9764,Sungai Nibong,SCANIA K270 10
1123,WUU6742,Batu Caves,KING LONG IC 100
1124,WUX5618,Batu Caves,KING LONG IC 100
1125,WUY9497,Batu Caves,KING LONG IC 100
1126,WVC3917,Batu Caves,KING LONG IC 100
1127,WVC4291,Batu Caves,KING LONG IC 100
1128,WB5780Q,Batu Caves,SCANIA K250 A
1129,WB6510S,Batu Caves,SCANIA K250 A
1130,W7486Q,Batu Caves,SCANIA K250 B
1131,WVD4028,Batu Caves,SCANIA K270
1132,WVH9804,Batu Caves,SCANIA K270
1133,VFF9422,Batu Caves,VOLVO DD B8L
1134,WA9451M,Cheras Selatan,SCANIA K250 A
1135,WA9479M,Cheras Selatan,SCANIA K250 A
1136,WB4638T,Cheras Selatan,SCANIA K250 A
1137,WB4788V,Cheras Selatan,SCANIA K250 A
1138,WB807U,Cheras Selatan,SCANIA K250 A
1139,WB863U,Cheras Selatan,SCANIA K250 A
1140,W2480S,Cheras Selatan,SCANIA K250 B
1141,W7358S,Cheras Selatan,SCANIA K250 B
1142,WPW8156,Cheras Selatan,VOLVO SD B7RLE
1143,PJJ364,Mak Mandin,SCANIA K270 10
1144,PJJ354,Mak Mandin,SCANIA K270 12
1145,WB480G,Maluri,ALEXANDER DENNIS E500
1146,WVJ1049,Maluri,MAN
1147,WVL617,Maluri,MAN
1148,WVN5617,Maluri,MAN
1149,WVG3625,Maluri,SCANIA K270
1150,VEU6297,Maluri,VOLVO DD B8L
1151,VEU6298,Maluri,VOLVO DD B8L
1152,VEX3764,Maluri,VOLVO DD B8L
1153,VFA2791,Maluri,VOLVO DD B8L
1154,VFB9851,Maluri,VOLVO DD B8L
1155,VFH8704,Maluri,VOLVO DD B8L
1156,VFJ4933,Maluri,VOLVO DD B8L
1157,VAG4680,MRT Kajang,SCANIA K250 MRT
1158,VAJ3412,MRT Kajang,SCANIA K250 MRT
1159,VH3745,MRT Kajang,SCANIA K250 MRT
1160,VK2947,MRT Kajang,SCANIA K250 MRT
1161,VK6295,MRT Kajang,SCANIA K250 MRT
1162,VAE7340,MRT Serdang,SCANIA K250 MRT
1163,VAF5250,MRT Serdang,SCANIA K250 MRT
1164,VAF6417,MRT Serdang,SCANIA K250 MRT
1165,VH2055,MRT Serdang,SCANIA K250 MRT
1166,VH2514,MRT Serdang,SCANIA K250 MRT
1167,VH2542,MRT Serdang,SCANIA K250 MRT
1168,VH3593,MRT Serdang,SCANIA K250 MRT
1169,VK2852,MRT Serdang,SCANIA K250 MRT
1170,VK2934,MRT Serdang,SCANIA K250 MRT
1171,VX2919,MRT Serdang,SCANIA K250 MRT
1172,WVH6177,MRT Serdang,SCANIA K270
1173,VG8742,MRT Serdang,VOLVO MRT
1174,VAC5791,MRT Sungai Buloh,VOLVO MRT
